species,effect,component,group,estimate,std.error,statistic,p.value
alcyonium_sub,fixed,cond,NA,-0.06159763730119998,0.005214607132068249,-11.8125173653818,3.3633787708720084e-32
anomia_spp,fixed,cond,NA,0.13875942108711023,0.017026097381512128,8.149807790820159,3.6450315701560896e-16
aplidium_glabrum,fixed,cond,NA,-0.04750800415066239,0.0032666288191360365,-14.543435076663345,6.428416547613771e-48
balanus_balanus,fixed,cond,NA,-0.005888456749350748,0.003664850989301851,-1.6067383821442878,0.10811177011237172
bare_space_rock,fixed,cond,NA,-0.023817534546165316,0.0034928771239702283,-6.818887038056689,9.17485056844255e-12
boltenia_echinata,fixed,cond,NA,-0.002196812804504709,0.006109699939959562,-0.3595614884679998,0.7191750876637109
boltenia_ovifera,fixed,cond,NA,0.015145378568604364,NA,NA,NA
botrylloides_sp,fixed,cond,NA,0.06533841615886492,0.006926170951717319,9.433555223274483,3.964195637452773e-21
botryllus_schlosseri,fixed,cond,NA,0.02118902214949746,NA,NA,NA
brown_algae_sub,fixed,cond,NA,0.05314632233833785,0.016450884612070144,3.230605745015315,0.0012352820097332354
clathromorphum_sp,fixed,cond,NA,0.05586679263419535,0.007895469743876081,7.075803523599973,1.4858525768330103e-12
cliona_spp,fixed,cond,NA,-0.015112506650141303,NA,NA,NA
dendrodoa_carnea,fixed,cond,NA,-0.07818391381610813,0.00822003947843757,-9.511379357872501,1.881509196856573e-21
didemnum_albidum,fixed,cond,NA,0.01535133056079016,0.005805434590166455,2.6443034233462965,0.008185923929748071
didemnum_vexillum,fixed,cond,NA,0.2078522230767923,0.01476970637004384,14.072874427508022,5.575623949219012e-45
diplosoma_listerianum,fixed,cond,NA,0.07897877679073326,0.009499689026850243,8.313827596619738,9.266374246772799e-17
edwardsiella_lineata,fixed,cond,NA,0.13438491194651095,0.008383941026753794,16.028847473721303,8.03593429231988e-58
encrusting_bryozoan,fixed,cond,NA,-0.003500813445587183,0.0030909204209087476,-1.1326119630598332,0.257377242604161
erect_bryozoan_sub,fixed,cond,NA,0.05948173430624392,0.0038743188152781704,15.35282384910629,3.390985717606748e-53
green_algae_sub,fixed,cond,NA,-0.04175917382052514,0.005859864077071459,-7.12630417212592,1.0309974623224275e-12
halichondria_panicea,fixed,cond,NA,-0.012308655083074346,0.004241724951093285,-2.9018041539685044,0.003710204132971946
haliclona_oculata,fixed,cond,NA,0.04829723042429217,0.02952725271047152,1.6356831737063056,0.1019059128311879
halisarca_nahantensis,fixed,cond,NA,-0.02399970575989771,0.00562557992068584,-4.266174527473746,1.988532424604883e-5
halocynthia_pyriformis,fixed,cond,NA,-0.007248567349284015,NA,NA,NA
hyd_bry_complex,fixed,cond,NA,0.007810692507453719,0.0031827579633924054,2.4540642415449456,0.014125174456209236
hydroid_sub,fixed,cond,NA,0.0019052308653243356,0.003696149644733008,0.51546367123941494,0.6062290494972667
hymedesmia_sp,fixed,cond,NA,-0.3016417716106263,NA,NA,NA
isodictya_spp,fixed,cond,NA,0.009002118302289388,0.007317782046386508,1.2301703228144925,0.21863333060539306
leucosolenia_spp,fixed,cond,NA,-0.02904653784391686,0.006104435200946407,-4.758267863898957,1.9526127450675527e-6
lithothamnion_spp,fixed,cond,NA,0.013468030082604552,0.003071265421134603,4.385172961583087,1.1589365525166057e-5
metridium_sub,fixed,cond,NA,-0.06262904913727095,0.004295719704747228,-14.57940774582177,3.79797265808166e-48
modiolus_modiolus,fixed,cond,NA,-0.027127347403758637,0.007272769344149235,-3.729988690701696,1.9148836536271208e-4
molgula_citrina,fixed,cond,NA,-0.016123360881055863,NA,NA,NA
mytilus_edulis,fixed,cond,NA,0.17351973113896468,NA,NA,NA
orange_sponge_crust,fixed,cond,NA,0.04096132931093685,NA,NA,NA
peysonnelia,fixed,cond,NA,-0.026164232438406355,0.003103149145452992,-8.43150980246776,3.412337038578934e-17
phymatolithon_sp,fixed,cond,NA,-0.028743208145283684,0.003503416779108495,-8.204335926197707,2.3186893730557074e-16
red_algae_sub,fixed,cond,NA,0.0273824632903129,0.003607939477369661,7.589501836731437,3.2113772225405856e-14
scypha_sp,fixed,cond,NA,-0.050652682439196246,NA,NA,NA
spirorbis_spp,fixed,cond,NA,-0.05375873887281474,0.004220886240506308,-12.73636288912781,3.713050303409335e-37
styela_sp,fixed,cond,NA,-0.07814384804676137,NA,NA,NA
tube_complex,fixed,cond,NA,-0.09741601377107308,0.007153498514141418,-13.617954009285931,3.1322020463811785e-42
tubularia_sub,fixed,cond,NA,-0.005195521393235224,0.0048611377245705994,-1.0687871209602813,0.28516560394335266
